identificatie,naam,code,ligtInProvincieCode,ligtInProvincieNaam,fuuid,area_total,area_m2,n2k_area_natura,pct_natura
GM0279,Scherpenzeel,"0279","25",Gelderland,gemeentegebied.2282053a-732a-47b1-8cb3-3bb3e9bfa468,13817372.6003782,13817372.6003782,,0.000
GM1891,Dantumadiel,"1891","21",Fryslân,gemeentegebied.867353be-7ebd-4374-b11d-3fc24e2bb1b2,87524530.1149703,87524530.1149703,,0.000
GM1509,Oude IJsselstreek,"1509","25",Gelderland,gemeentegebied.ab298b1f-80f6-4b5a-9672-0459dc580690,137968025.187237,137968025.187237,,0.000
GM0086,Opsterland,"0086","21",Fryslân,gemeentegebied.0523d47d-c794-4644-b63f-a8c0fe3d0b70,227648911.260533,227648911.260533,2584066,1.135
GM0243,Harderwijk,"0243","25",Gelderland,gemeentegebied.57f8c32b-96a2-4e44-93cd-f8a706684779,48278627.1772104,48278627.1772104,9180061,19.015
GM0984,Venray,"0984","31",Limburg,gemeentegebied.78efba9f-c5e0-4af0-a476-615155d31051,165018707.137469,165018707.137469,2713362,1.644
GM1699,Noordenveld,"1699","22",Drenthe,gemeentegebied.19bce4dd-0d49-4dda-ab2f-8926e3b249c9,205287834.178704,205287834.178704,17356855,8.455
GM0820,"Nuenen, Gerwen en Nederwetten","0820","30",Noord-Brabant,gemeentegebied.daeacae6-1b42-490b-941c-72589c18cfa4,33947379.3533761,33947379.3533761,,0.000
GM0556,Maassluis,"0556","28",Zuid-Holland,gemeentegebied.d808a758-6eb5-40d2-b724-577224e3516e,10125624.0409392,10125624.0409392,,0.000
GM0402,Hilversum,"0402","27",Noord-Holland,gemeentegebied.78fb8dc6-0e84-48fc-b11f-e34878262b87,46364524.3768626,46364524.3768626,1494456,3.223
GM0339,Renswoude,"0339","26",Utrecht,gemeentegebied.c08a3fd7-a811-4528-8375-13db8c79a1e6,18514363.3413171,18514363.3413171,,0.000
GM0252,Heumen,"0252","25",Gelderland,gemeentegebied.baac968b-a079-440a-a868-ed7ec5c15e7f,41542615.1205493,41542615.1205493,,0.000
GM1640,Leudal,"1640","31",Limburg,gemeentegebied.543620be-6c62-48c4-baf4-cea827a69767,164912008.907915,164912008.907915,3397397,2.060
GM0451,Uithoorn,"0451","27",Noord-Holland,gemeentegebied.9cf4722c-b915-4d94-99c2-2154538aabd0,19422212.6275225,19422212.6275225,,0.000
GM0399,Heiloo,"0399","27",Noord-Holland,gemeentegebied.1d628d85-7b8c-412c-a46b-2a11a9417bd7,19016094.5566737,19016094.5566737,,0.000
GM0448,Texel,"0448","27",Noord-Holland,gemeentegebied.df30c530-dabb-49c7-b1ae-cf843467c365,463174346.223449,463174346.223449,33621094,7.259
GM0197,Aalten,"0197","25",Gelderland,gemeentegebied.05b62fb0-1182-4760-9197-d621bbe0035f,97061720.6337892,97061720.6337892,,0.000
GM0718,Vlissingen,"0718","29",Zeeland,gemeentegebied.5a607224-553d-4d7a-84aa-97af1f65b71a,344800277.733959,344800277.733959,172663050,50.076
GM0274,Renkum,"0274","25",Gelderland,gemeentegebied.f2f26c35-c5fe-4051-845b-618178251927,47241339.4330493,47241339.4330493,22500441,47.629
GM0590,Papendrecht,"0590","28",Zuid-Holland,gemeentegebied.10ca7b9e-0979-42bb-addf-6834e2622830,10791483.4817489,10791483.4817489,,0.000
GM0385,Edam-Volendam,"0385","27",Noord-Holland,gemeentegebied.02421857-4ca5-4170-9ffc-115505623f66,80008303.097077,80008303.097077,18131655,22.662
GM0629,Wassenaar,"0629","28",Zuid-Holland,gemeentegebied.60de36e1-03c5-40d0-afb4-0d93251b099b,62412733.8118424,62412733.8118424,21952812,35.174
GM0114,Emmen,"0114","22",Drenthe,gemeentegebied.02ecfd77-16c3-47d6-8c7f-f505f418ac31,346255319.941553,346255319.941553,20825035,6.014
GM0098,Weststellingwerf,"0098","21",Fryslân,gemeentegebied.de6ad1c6-85ae-4f0f-85da-4084634268d3,228464939.405487,228464939.405487,13688367,5.991
GM1960,West Betuwe,"1960","25",Gelderland,gemeentegebied.13733965-5f41-42b5-aed4-3f9aa0184019,229160046.32677,229160046.32677,4592762,2.004
GM0518,'s-Gravenhage,"0518","28",Zuid-Holland,gemeentegebied.70015b1f-cde9-4675-ab8c-c2e722708f78,98130741.9647539,98130741.9647539,1902234,1.938
GM0777,Etten-Leur,"0777","30",Noord-Brabant,gemeentegebied.b0f88ce9-f0b4-4003-af4a-551f64275680,55926966.0230492,55926966.0230492,,0.000
GM0200,Apeldoorn,"0200","25",Gelderland,gemeentegebied.8344d252-e65a-4179-bc54-ec2253297157,341203710.520977,341203710.520977,632,0.000
