identificatie,naam,code,ligtInProvincieCode,ligtInProvincieNaam,fuuid,area_total,area_m2,n2k_area_natura,pct_natura
GM0345,Veenendaal,"0345","26",Utrecht,gemeentegebied.fc256c0a-7de5-41c5-b8a8-74257044745f,19727716.1293026,19727716.1293026,630057,3.194
GM0546,Leiden,"0546","28",Zuid-Holland,gemeentegebied.b36287c5-aadf-48b3-bf7a-c17fb1501e86,23273459.0396275,23273459.0396275,,0.000
GM1658,Heeze-Leende,"1658","30",Noord-Brabant,gemeentegebied.379e3d40-736c-47a1-aaa7-79a7b6f664ed,105053884.416629,105053884.416629,9418379,8.965
GM1774,Dinkelland,"1774","23",Overijssel,gemeentegebied.5fd0ba5e-175f-4fe4-a209-6447a0ad6bb9,176834437.142913,176834437.142913,1326437,0.750
GM0703,Reimerswaal,"0703","29",Zeeland,gemeentegebied.7282f576-f515-4277-8c51-b273cf0a0408,242420256.375067,242420256.375067,1758018,0.725
GM0758,Breda,"0758","30",Noord-Brabant,gemeentegebied.998e77dc-f1e0-4796-8bc3-cc29f366d5c8,128694832.409646,128694832.409646,1123133,0.873
GM1721,Bernheze,"1721","30",Noord-Brabant,gemeentegebied.6114b9ab-19eb-4bd6-b423-604b774d630d,90429016.7510005,90429016.7510005,,0.000
GM0375,Beverwijk,"0375","27",Noord-Holland,gemeentegebied.0cd96a8b-b626-40a9-8af8-05db3ec59481,20089513.108835,20089513.108835,503600,2.507
GM0296,Wijchen,"0296","25",Gelderland,gemeentegebied.169834c4-7963-42ec-a1ba-2137c8d935b7,69574850.2413699,69574850.2413699,,0.000
GM1948,Meierijstad,"1948","30",Noord-Brabant,gemeentegebied.2cffce98-3c35-4192-be45-46fee073922e,185544533.575859,185544533.575859,,0.000
GM1783,Westland,"1783","28",Zuid-Holland,gemeentegebied.f2ef8c33-a22a-43cb-9aee-c3ae81d4f0b9,90745542.9147209,90745542.9147209,4388894,4.836
GM0160,Hardenberg,"0160","23",Overijssel,gemeentegebied.eef4a60d-18c0-4159-8ea0-f6a0d4b727f4,317174215.272009,317174215.272009,0,0.000
GM0289,Wageningen,"0289","25",Gelderland,gemeentegebied.c8b8c2b4-60fa-4b7a-84a9-53c18d153196,32365518.7469393,32365518.7469393,4551578,14.063
GM1940,De Fryske Marren,"1940","21",Fryslân,gemeentegebied.c3ab8091-21a4-443a-8ba9-66ec2421b6f8,549155471.759016,549155471.759016,129800439,23.636
GM1883,Sittard-Geleen,"1883","31",Limburg,gemeentegebied.ce936532-a15e-477d-b4e7-e88c7272bb7a,80582103.3075966,80582103.3075966,282330,0.350
GM0299,Zevenaar,"0299","25",Gelderland,gemeentegebied.41dca79a-c107-42a2-af97-d05eefcacb7b,106120012.194574,106120012.194574,15655174,14.752
GM0351,Woudenberg,"0351","26",Utrecht,gemeentegebied.012b7d49-92be-479a-a8a3-e6189d115386,36828796.7903948,36828796.7903948,,0.000
GM1667,Reusel-De Mierden,"1667","30",Noord-Brabant,gemeentegebied.ed05d1ad-29bd-4748-9d66-f9dbb07086e4,78670275.4338253,78670275.4338253,3342234,4.248
GM0034,Almere,"0034","24",Flevoland,gemeentegebied.1166f9e6-8b37-49ea-9a4d-9b4630abded0,248808923.073835,248808923.073835,20278,0.008
GM0307,Amersfoort,"0307","26",Utrecht,gemeentegebied.b6b44340-8255-4d63-ad19-3846eda4658b,63872516.2445864,63872516.2445864,,0.000
GM0828,Oss,"0828","30",Noord-Brabant,gemeentegebied.d0941429-c04c-4830-8362-b61780efbc65,170947239.420517,170947239.420517,,0.000
GM1842,Midden-Delfland,"1842","28",Zuid-Holland,gemeentegebied.00c18a02-071e-4b0f-9bd2-82df97c0cee6,49384226.398702,49384226.398702,,0.000
GM1924,Goeree-Overflakkee,"1924","28",Zuid-Holland,gemeentegebied.5492540f-4607-44a8-8148-136693ff52c5,422373972.301743,422373972.301743,7983089,1.890
GM0534,Hillegom,"0534","28",Zuid-Holland,gemeentegebied.d763aa94-91f5-497d-890d-a835fb073bcf,13467290.2612769,13467290.2612769,,0.000
GM0632,Woerden,"0632","26",Utrecht,gemeentegebied.b754ee99-852a-48ba-9504-435fc72714f7,92938870.4981846,92938870.4981846,7444,0.008
GM0944,Mook en Middelaar,"0944","31",Limburg,gemeentegebied.e811e949-9c9f-48c5-8e97-f230358b099f,18812792.4634265,18812792.4634265,1465981,7.792
GM1706,Cranendonck,"1706","30",Noord-Brabant,gemeentegebied.32c630d2-210c-41fb-8e71-0afe9bd63335,78055301.3406628,78055301.3406628,720699,0.923
GM0232,Epe,"0232","25",Gelderland,gemeentegebied.04099959-f3a4-4f2d-b8f9-107b5281aca0,157397355.905137,157397355.905137,71248152,45.266
GM0335,Montfoort,"0335","26",Utrecht,gemeentegebied.160a6b11-fddf-4836-bec0-132bc6dfa4d4,38209121.0078629,38209121.0078629,,0.000
GM1676,Schouwen-Duiveland,"1676","29",Zeeland,gemeentegebied.dce96f50-20c6-46d2-b5bd-b3533a6b935b,488216045.089356,488216045.089356,22418477,4.592
GM0765,Pekela,"0765","20",Groningen,gemeentegebied.858771b8-0f9a-4dca-84b5-02a895d7a0ab,50200644.6952933,50200644.6952933,,0.000
GM0377,Bloemendaal,"0377","27",Noord-Holland,gemeentegebied.a5c77f0f-7cb4-4502-bd05-c825eaf663a5,45234062.8148429,45234062.8148429,25666486,56.742
GM0356,Nieuwegein,"0356","26",Utrecht,gemeentegebied.2dc7ca0a-cbb2-4cc6-ab19-d7a02728bc2d,25650962.9983429,25650962.9983429,,0.000
GM0889,Beesel,"0889","31",Limburg,gemeentegebied.13d2d78d-c353-4a08-8acb-d2ae895c84bb,29155208.4388054,29155208.4388054,112531,0.386
GM1674,Roosendaal,"1674","30",Noord-Brabant,gemeentegebied.18788050-f37d-4ee2-bc34-8e126979cec0,107171758.198478,107171758.198478,4106965,3.832
GM0273,Putten,"0273","25",Gelderland,gemeentegebied.856a06a4-b810-4e76-b8d4-b8dcb31c915a,87518484.2595532,87518484.2595532,4183120,4.780
GM0183,Tubbergen,"0183","23",Overijssel,gemeentegebied.230c11b5-d873-4ae6-bed8-3bb96112f603,147450795.159996,147450795.159996,10860254,7.365
GM0216,Culemborg,"0216","25",Gelderland,gemeentegebied.493364c9-c4fd-481d-bbea-413f82f4083d,31149164.9844705,31149164.9844705,,0.000
GM0072,Harlingen,"0072","21",Fryslân,gemeentegebied.551e0981-5a2b-4db1-9d87-35ee7437da84,387680809.733601,387680809.733601,361099958,93.144
GM0579,Oegstgeest,"0579","28",Zuid-Holland,gemeentegebied.caad4544-0706-40e5-a6d4-29fc1c127ceb,7968289.34703872,7968289.34703872,,0.000
GM0770,Eersel,"0770","30",Noord-Brabant,gemeentegebied.d9aafd16-4f8c-43e0-a1e4-537f88689763,83333794.3258935,83333794.3258935,470801,0.565
GM0453,Velsen,"0453","27",Noord-Holland,gemeentegebied.ba39ee0f-12a5-4aaf-8707-5c15ccb1e628,63179789.4997361,63179789.4997361,9762711,15.452
GM0498,Drechterland,"0498","27",Noord-Holland,gemeentegebied.66002039-9adb-4f3c-8afc-50a56d3a56cf,80599449.6952867,80599449.6952867,21089553,26.166
GM0074,Heerenveen,"0074","21",Fryslân,gemeentegebied.aeed7767-f96b-4c4f-9076-ae10fd259dbf,198176396.708305,198176396.708305,5142650,2.595
GM0431,Oostzaan,"0431","27",Noord-Holland,gemeentegebied.d03e2562-c3cc-45ca-a773-7c0cb21d28a5,16078022.9174363,16078022.9174363,3661788,22.775
GM1730,Tynaarlo,"1730","22",Drenthe,gemeentegebied.036b5175-8ef4-4b55-b96e-f0081568dbc1,147693569.943776,147693569.943776,8025441,5.434
GM0228,Ede,"0228","25",Gelderland,gemeentegebied.a7f1fb7e-676a-43b0-902f-b9cb885e1544,318676453.702583,318676453.702583,482417,0.151
GM0285,Voorst,"0285","25",Gelderland,gemeentegebied.fc6b34a7-adac-428e-a208-ce5e82b17277,126488166.781177,126488166.781177,1955546,1.546
GM0175,Ommen,"0175","23",Overijssel,gemeentegebied.5f3e167e-a9d7-4aa4-8726-98052a8084cf,182031111.162673,182031111.162673,40010551,21.980
GM0473,Zandvoort,"0473","27",Noord-Holland,gemeentegebied.1ccd515a-be0a-4034-9b6f-168b78e5d72d,43976705.5889516,43976705.5889516,27109107,61.644
GM0879,Zundert,"0879","30",Noord-Brabant,gemeentegebied.8ae0078f-6fef-41f2-9a05-ab7787b3a395,121217122.862135,121217122.862135,,0.000
GM0344,Utrecht,"0344","26",Utrecht,gemeentegebied.787b48a5-2a18-40cb-8bb2-de16874e211b,99224952.0207107,99224952.0207107,,0.000
GM0388,Enkhuizen,"0388","27",Noord-Holland,gemeentegebied.317306f8-fd95-4319-8f60-eeb0d240c1e5,116261480.417537,116261480.417537,99618090,85.685
GM0310,De Bilt,"0310","26",Utrecht,gemeentegebied.43eb145e-704b-454d-94c9-e1af0e7d1527,67142967.4050434,67142967.4050434,3908201,5.821
GM0531,Hendrik-Ido-Ambacht,"0531","28",Zuid-Holland,gemeentegebied.868f84ae-dcd9-4141-beb3-afd940e165fe,11902391.0554808,11902391.0554808,,0.000
GM0153,Enschede,"0153","23",Overijssel,gemeentegebied.17d7fe5d-caf8-443f-9973-ec94e3fd4676,142732017.603803,142732017.603803,25470,0.018
GM0716,Tholen,"0716","29",Zeeland,gemeentegebied.11dd9414-b032-4123-99cf-ce7c143b5a23,254013982.469255,254013982.469255,5531185,2.178
GM0168,Losser,"0168","23",Overijssel,gemeentegebied.0755b27d-4cef-46f8-b556-43af65b1d59b,99624524.7799014,99624524.7799014,5177858,5.197
GM0246,Heerde,"0246","25",Gelderland,gemeentegebied.61334e24-c672-4157-89f7-4d1c2930fa2c,80432547.3180086,80432547.3180086,28556701,35.504
GM1641,Maasgouw,"1641","31",Limburg,gemeentegebied.04f902be-8428-4abc-959c-aeacc30b40c4,58118246.8238674,58118246.8238674,1178939,2.029
GM1911,Hollands Kroon,"1911","27",Noord-Holland,gemeentegebied.8816be12-2285-43d7-99b8-92058997e3d9,662258153.955325,662258153.955325,108810920,16.430
GM0317,Eemnes,"0317","26",Utrecht,gemeentegebied.b2f9a4b1-20a7-499a-a140-dd35932af87d,33709076.2924368,33709076.2924368,2449018,7.265
GM0627,Waddinxveen,"0627","28",Zuid-Holland,gemeentegebied.d769c2fb-f309-47a9-bd2e-9e95080c6322,29400988.5335393,29400988.5335393,,0.000
GM0267,Nijkerk,"0267","25",Gelderland,gemeentegebied.9c568d57-47c8-48f3-86ca-561a87969b97,72053450.2474645,72053450.2474645,10039147,13.933
GM0744,Baarle-Nassau,"0744","30",Noord-Brabant,gemeentegebied.0b80b459-e65b-42b5-a165-d6387b406ff3,76292125.103221,76292125.103221,,0.000
GM0358,Aalsmeer,"0358","27",Noord-Holland,gemeentegebied.5e59d03d-c04d-4d15-81b5-7bd81d1a153e,32291219.2584808,32291219.2584808,,0.000
GM0308,Baarn,"0308","26",Utrecht,gemeentegebied.7d90cdc2-fcd3-4ce6-adbf-5b63df11739c,33012265.2623523,33012265.2623523,,0.000
GM1930,Nissewaard,"1930","28",Zuid-Holland,gemeentegebied.4bbb6d8e-dfb7-4e84-9991-78c2a54b48c3,83801106.7170973,83801106.7170973,6895753,8.229
GM1901,Bodegraven-Reeuwijk,"1901","28",Zuid-Holland,gemeentegebied.72074588-c925-4318-b0d9-1c8bdd984aee,88653734.4278056,88653734.4278056,6965792,7.857
GM0995,Lelystad,"0995","24",Flevoland,gemeentegebied.ba3de76b-eb9d-4254-bf33-01f293551982,765574837.00134,765574837.00134,96301888,12.579
GM0177,Raalte,"0177","23",Overijssel,gemeentegebied.da51e754-66d5-4028-81e3-14a5ba8b43e0,172312863.228123,172312863.228123,1697254,0.985
GM1959,Altena,"1959","30",Noord-Brabant,gemeentegebied.629d82b5-abcd-4cf4-ab68-6fdf877a93b2,226676759.122243,226676759.122243,1626364,0.717
GM1734,Overbetuwe,"1734","25",Gelderland,gemeentegebied.3858fad7-dd64-4cd7-8db8-b30b4d6df641,115103356.038274,115103356.038274,7582878,6.588
GM0173,Oldenzaal,"0173","23",Overijssel,gemeentegebied.fc4677c4-d1f4-4d1c-8922-47517a9dac45,21953745.4413268,21953745.4413268,714,0.003
GM0797,Heusden,"0797","30",Noord-Brabant,gemeentegebied.6aaf56e3-0b28-4743-b2ad-5e03224ae9ac,81231549.5886556,81231549.5886556,11824702,14.557
GM0059,Achtkarspelen,"0059","21",Fryslân,gemeentegebied.cfb17de2-51ce-45a9-a150-7ac1a4dd8c2b,103978822.029555,103978822.029555,,0.000
GM1963,Hoeksche Waard,"1963","28",Zuid-Holland,gemeentegebied.95bb6617-ece0-42b7-870d-a6b857ac8e38,323720721.847316,323720721.847316,5050695,1.560
GM0214,Buren,"0214","25",Gelderland,gemeentegebied.917b5f95-38c2-47b3-a005-02c5513820d3,142947084.332257,142947084.332257,8679404,6.072
GM1701,Westerveld,"1701","22",Drenthe,gemeentegebied.badf21cd-16c5-46fd-9806-7d75072d9122,282757816.877603,282757816.877603,17537194,6.202
GM0824,Oisterwijk,"0824","30",Noord-Brabant,gemeentegebied.b92ac7fe-5117-4ca7-aecc-7d7dd793a304,81472355.1592981,81472355.1592981,3829056,4.700
GM0392,Haarlem,"0392","27",Noord-Holland,gemeentegebied.e7982735-caeb-42ac-8962-6bf5c63ea0da,32095886.2347029,32095886.2347029,143980,0.449
GM0880,Wormerland,"0880","27",Noord-Holland,gemeentegebied.8558ec15-7c65-4dba-9ed8-7b6d86d63524,45182041.7072849,45182041.7072849,30323,0.067
GM0147,Borne,"0147","23",Overijssel,gemeentegebied.1217c9bc-da21-4f6a-bd15-ca8d1cc26e59,26166499.1612031,26166499.1612031,,0.000
GM1581,Utrechtse Heuvelrug,"1581","26",Utrecht,gemeentegebied.a95acc79-6f78-429b-9171-07c183851464,133964932.439091,133964932.439091,577579,0.431
GM0050,Zeewolde,"0050","24",Flevoland,gemeentegebied.e47f9f32-b789-4ada-9f2e-4b1792fad454,268906630.594202,268906630.594202,1281806,0.477
GM0532,Stede Broec,"0532","27",Noord-Holland,gemeentegebied.62fa9956-1904-44a6-93cf-4d7a05a950be,16372971.3084848,16372971.3084848,802135,4.899
GM0293,Westervoort,"0293","25",Gelderland,gemeentegebied.bc690124-bf4b-4ce9-8e0f-5f7814973660,7840242.74987218,7840242.74987218,1014060,12.934
GM1949,Waadhoeke,"1949","21",Fryslân,gemeentegebied.43f3e761-1a72-4411-9a3d-effb93f98120,315822062.923271,315822062.923271,32516048,10.296
GM1598,Koggenland,"1598","27",Noord-Holland,gemeentegebied.e620f431-176e-4eba-b4b8-448b1658de2f,84095415.4307447,84095415.4307447,789419,0.939
GM0845,Sint-Michielsgestel,"0845","30",Noord-Brabant,gemeentegebied.054a7465-c907-4030-bad8-5469c537d620,59350191.3680826,59350191.3680826,,0.000
GM1724,Bergeijk,"1724","30",Noord-Brabant,gemeentegebied.9e83901d-c4b0-4ef1-978a-c8d3e416ac02,101761377.572026,101761377.572026,1314242,1.291
GM1931,Krimpenerwaard,"1931","28",Zuid-Holland,gemeentegebied.26018de2-77c0-485d-8c6c-30307072e64c,161333400.772716,161333400.772716,,0.000
GM0717,Veere,"0717","29",Zeeland,gemeentegebied.371041f5-008a-4267-b0fd-6a31b2038fee,206540375.770985,206540375.770985,8848208,4.284
GM1680,Aa en Hunze,"1680","22",Drenthe,gemeentegebied.7ebdc07d-db23-417d-85f0-50ee3410d5c6,278868083.494988,278868083.494988,26341968,9.446
GM0437,Ouder-Amstel,"0437","27",Noord-Holland,gemeentegebied.970e0733-7e84-4d95-b319-4a8cfbf42405,25786677.5577364,25786677.5577364,,0.000
GM1896,Zwartewaterland,"1896","23",Overijssel,gemeentegebied.31ac52c2-718b-49a6-8672-10974b32df91,87868095.5176176,87868095.5176176,2399626,2.731
GM0221,Doesburg,"0221","25",Gelderland,gemeentegebied.dbbc850a-a7f5-4163-9a2f-e610319e5f56,12960227.1934096,12960227.1934096,3902416,30.111
GM0037,Stadskanaal,"0037","20",Groningen,gemeentegebied.95953b91-5b9e-44fa-a2d9-10f654b0bb31,119935268.234798,119935268.234798,,0.000
GM0523,Hardinxveld-Giessendam,"0523","28",Zuid-Holland,gemeentegebied.5e572d78-36ee-4779-af9f-6406f9cd9987,19357763.1425747,19357763.1425747,,0.000
GM0762,Deurne,"0762","30",Noord-Brabant,gemeentegebied.d47f9b7d-209c-4c4d-bc35-5a79aada36ba,118366906.114274,118366906.114274,16151265,13.645
GM0715,Terneuzen,"0715","29",Zeeland,gemeentegebied.7866e4b7-4bc6-4994-adca-832b6753aa11,317734073.875534,317734073.875534,1407291,0.443
GM0502,Capelle aan den IJssel,"0502","28",Zuid-Holland,gemeentegebied.1264d32c-4950-4283-96aa-5372777a472f,15402116.658223,15402116.658223,,0.000
GM1950,Westerwolde,"1950","20",Groningen,gemeentegebied.523ad4d7-ae69-4044-98e9-b0bbf5dad321,280617967.562056,280617967.562056,198368,0.071
GM0737,Tytsjerksteradiel,"0737","21",Fryslân,gemeentegebied.d37a1aba-418b-487e-b7a6-6236bb16e215,161405460.315575,161405460.315575,4693663,2.908
GM0363,Amsterdam,"0363","27",Noord-Holland,gemeentegebied.6b785fa0-f8bd-4f15-9a34-428d8bf7dc95,243692468.414977,243692468.414977,14369957,5.897
GM1926,Pijnacker-Nootdorp,"1926","28",Zuid-Holland,gemeentegebied.fae79b30-b33a-4564-b9d2-127b0b9fe372,38621206.2449722,38621206.2449722,,0.000
GM0268,Nijmegen,"0268","25",Gelderland,gemeentegebied.08eeb1d1-2fbb-4c4c-b128-1909c9d43fa7,57637104.3868946,57637104.3868946,1938709,3.364
GM0331,Lopik,"0331","26",Utrecht,gemeentegebied.3f2b4d37-8f01-47d8-b363-3efb3060c4fb,78992247.1538083,78992247.1538083,654497,0.829
GM0610,Sliedrecht,"0610","28",Zuid-Holland,gemeentegebied.24e3dbac-6f98-4346-9436-f65cf635d577,14016212.6426124,14016212.6426124,,0.000
GM0569,Nieuwkoop,"0569","28",Zuid-Holland,gemeentegebied.355b93d2-6774-4d70-8497-f6adfd44097b,91177617.7142315,91177617.7142315,19830499,21.749
GM0148,Dalfsen,"0148","23",Overijssel,gemeentegebied.6e7127cc-9ddc-4f82-8cd1-45d4da7213a8,166537859.174815,166537859.174815,0,0.000
GM1728,Bladel,"1728","30",Noord-Brabant,gemeentegebied.285482ba-c8d9-4b51-a899-41565bf28484,75630086.8495186,75630086.8495186,3976931,5.258
GM0281,Tiel,"0281","25",Gelderland,gemeentegebied.def90648-9106-4307-9c63-63d0e75685fe,35518690.0741633,35518690.0741633,1233246,3.472
GM0575,Noordwijk,"0575","28",Zuid-Holland,gemeentegebied.b1754903-effc-4014-bbd5-4d365313fcfc,74947447.2703535,74947447.2703535,1345840,1.796
GM0085,Ooststellingwerf,"0085","21",Fryslân,gemeentegebied.18c05596-813a-4992-a36e-9436cc146f2b,226120329.499421,226120329.499421,8605834,3.806
GM0119,Meppel,"0119","22",Drenthe,gemeentegebied.132ccb67-602f-48cd-a016-aba7241900bf,57033367.762254,57033367.762254,,0.000
GM0417,Laren,"0417","27",Noord-Holland,gemeentegebied.b7a89a17-0cfb-4b9f-a39e-31f8950b4ac8,12413609.3047086,12413609.3047086,,0.000
GM0907,Gennep,"0907","31",Limburg,gemeentegebied.22fd1641-204e-4033-8393-41dea42ed28c,50429710.5043282,50429710.5043282,880751,1.746
GM0489,Barendrecht,"0489","28",Zuid-Holland,gemeentegebied.089ba889-b8f0-4ec3-8cab-97d0458ecf39,21733347.7473525,21733347.7473525,152865,0.703
GM0340,Rhenen,"0340","26",Utrecht,gemeentegebied.ff7e5401-1ca5-477c-81b8-8053d140ad86,43764290.9758001,43764290.9758001,670,0.002
GM0209,Beuningen,"0209","25",Gelderland,gemeentegebied.e67d9a88-e96c-421c-bd82-f2f7ea4adae5,47097607.9868866,47097607.9868866,4170495,8.855
GM0171,Noordoostpolder,"0171","24",Flevoland,gemeentegebied.7d6b355a-d611-474f-9ade-8939bbdc90e1,593546891.529746,593546891.529746,1328291,0.224
GM1900,Súdwest-Fryslân,"1900","21",Fryslân,gemeentegebied.b569b038-4f72-45fd-bdf3-3ea7ab6466e7,907926013.749737,907926013.749737,24410996,2.689
GM0202,Arnhem,"0202","25",Gelderland,gemeentegebied.7b2ef8ad-63ac-4bfe-9332-0aebf3699e36,101560178.976561,101560178.976561,39922575,39.309
GM1731,Midden-Drenthe,"1731","22",Drenthe,gemeentegebied.f538eb01-e0eb-4de0-ab0a-eb969db105de,345884465.478159,345884465.478159,137559,0.040
GM0439,Purmerend,"0439","27",Noord-Holland,gemeentegebied.481f65e9-5bd6-4f94-9f6a-562934d77939,96641429.1019475,96641429.1019475,,0.000
GM0376,Blaricum,"0376","27",Noord-Holland,gemeentegebied.6fda648c-23b7-4991-b0c1-a8d3f859ad6a,15565584.8261798,15565584.8261798,4323825,27.778
GM0687,Middelburg,"0687","29",Zeeland,gemeentegebied.1861cc37-9390-4425-92f3-8acdfcd42967,53036607.3865446,53036607.3865446,3377224,6.368
GM1735,Hof van Twente,"1735","23",Overijssel,gemeentegebied.8244e9c8-f259-4f79-ac7f-33ef22e4d431,215430896.54075,215430896.54075,4929171,2.288
GM0090,Smallingerland,"0090","21",Fryslân,gemeentegebied.2fe9f1e4-d27c-46f2-b660-0a282f3a19c9,126177541.387063,126177541.387063,3905138,3.095
GM0405,Hoorn,"0405","27",Noord-Holland,gemeentegebied.e2791231-5d27-4571-840f-d43b08bafc9f,53462865.0513347,53462865.0513347,31581966,59.073
GM0014,Groningen,"0014","20",Groningen,gemeentegebied.77b85461-419f-4584-abe3-7f14adbfda03,197945899.785987,197945899.785987,756952,0.382
GM0269,Oldebroek,"0269","25",Gelderland,gemeentegebied.2d86e8fa-8aa9-4d3f-9038-7fe0db16053c,98850426.0227407,98850426.0227407,688164,0.696
GM0946,Nederweert,"0946","31",Limburg,gemeentegebied.3dac3646-e624-441e-9973-3152479c1773,101788445.146643,101788445.146643,1535290,1.508
GM0757,Boxtel,"0757","30",Noord-Brabant,gemeentegebied.2bac5044-bc3a-4e88-86de-d1ed75d83e92,70327547.558327,70327547.558327,8783288,12.489
GM0096,Vlieland,"0096","21",Fryslân,gemeentegebied.8307e737-8d34-4f7e-868b-4a17c564158c,315802568.433528,315802568.433528,1726152,0.547
GM1942,Gooise Meren,"1942","27",Noord-Holland,gemeentegebied.80d214aa-68be-41c1-b166-42a26c9d7261,75220749.8935471,75220749.8935471,4515547,6.003
GM0166,Kampen,"0166","23",Overijssel,gemeentegebied.90a72bac-6a64-4721-afd6-478da816d0db,161812015.744693,161812015.744693,13817094,8.539
GM0225,Druten,"0225","25",Gelderland,gemeentegebied.93d89434-2f93-498f-9509-8f477dd2244b,42464659.100384,42464659.100384,6859452,16.153
GM0262,Lochem,"0262","25",Gelderland,gemeentegebied.fd505014-fe05-44bd-b227-5c9e6552f4f2,215970221.266962,215970221.266962,1022968,0.474
GM0303,Dronten,"0303","24",Flevoland,gemeentegebied.c60b5f2d-5e3d-4c8e-bc9a-6e26ee8561d5,423962057.178027,423962057.178027,19604593,4.624
GM0736,De Ronde Venen,"0736","26",Utrecht,gemeentegebied.321a33b0-66e5-4b4a-8045-df6e74699d60,116999178.593362,116999178.593362,2175441,1.859
GM1719,Drimmelen,"1719","30",Noord-Brabant,gemeentegebied.aff524b1-b8a0-41d4-bf32-2df0f708c9bb,119443068.472332,119443068.472332,34203219,28.636
GM0794,Helmond,"0794","30",Noord-Brabant,gemeentegebied.da4fd9d8-6070-48de-9974-c32f09df0085,54758525.9907245,54758525.9907245,,0.000
GM1884,Kaag en Braassem,"1884","28",Zuid-Holland,gemeentegebied.1ab63b2d-008e-41d9-a042-7c50bc8b8767,72250256.9825871,72250256.9825871,,0.000
GM1700,Twenterand,"1700","23",Overijssel,gemeentegebied.fdacf321-6879-45ec-861e-2269664778da,108144438.098237,108144438.098237,9318239,8.616
GM0873,Woensdrecht,"0873","30",Noord-Brabant,gemeentegebied.0fb5e044-c15a-4425-ab3e-ddae58b9ffff,91973341.9684149,91973341.9684149,16816800,18.284
GM0809,Loon op Zand,"0809","30",Noord-Brabant,gemeentegebied.2cd7baf8-c9ba-4a5d-aaf2-04159710b236,50718509.3860053,50718509.3860053,10935902,21.562
GM1705,Lingewaard,"1705","25",Gelderland,gemeentegebied.dfcc4702-f49e-48f4-9a38-28e994de6860,69153608.8315222,69153608.8315222,40702,0.059
GM0355,Zeist,"0355","26",Utrecht,gemeentegebied.6da47259-0205-401c-8a6a-f1544b444e9a,48659697.9586743,48659697.9586743,,0.000
GM0432,Opmeer,"0432","27",Noord-Holland,gemeentegebied.e18cb731-21a5-4161-89fe-f6f3ecb3be13,41948670.6990187,41948670.6990187,,0.000
GM0547,Leiderdorp,"0547","28",Zuid-Holland,gemeentegebied.fb5577ed-2dbb-4a73-a17b-348fa90c8b07,12277413.2405182,12277413.2405182,,0.000
GM0222,Doetinchem,"0222","25",Gelderland,gemeentegebied.f3fe320b-8992-44be-9237-013c844c8633,79666041.3393562,79666041.3393562,,0.000
GM0118,Hoogeveen,"0118","22",Drenthe,gemeentegebied.bd964382-d78b-4ec1-a54b-c65cfc54c967,129257746.151981,129257746.151981,0,0.000
GM0866,Waalre,"0866","30",Noord-Brabant,gemeentegebied.480927ed-e950-4fb6-a4d2-55c66fd5a1d7,22665987.7834025,22665987.7834025,217079,0.958
GM0313,Bunschoten,"0313","26",Utrecht,gemeentegebied.10e8bfd1-7c94-4719-9adb-1e4d457f3014,34819784.7233851,34819784.7233851,2623108,7.533
GM0988,Weert,"0988","31",Limburg,gemeentegebied.a2fc3f6a-0406-4f3e-9084-a3d5ae3bcae4,105540921.087157,105540921.087157,12506194,11.850
GM0597,Ridderkerk,"0597","28",Zuid-Holland,gemeentegebied.46dc889b-6045-41f7-8b3b-9feb8e32f2b6,25266282.5763968,25266282.5763968,,0.000
GM0642,Zwijndrecht,"0642","28",Zuid-Holland,gemeentegebied.001e9235-0a97-4572-a9cb-0a138cff6854,22777746.9960224,22777746.9960224,,0.000
GM1945,Berg en Dal,"1945","25",Gelderland,gemeentegebied.73908eef-5b7c-44e3-86b6-e573b78da7c5,93294850.4089666,93294850.4089666,992869,1.064
GM0230,Elburg,"0230","25",Gelderland,gemeentegebied.c805d1a7-fcd4-47c5-bbca-ef16399db281,65919024.2047568,65919024.2047568,2418842,3.669
GM0213,Brummen,"0213","25",Gelderland,gemeentegebied.43295cd6-5958-492b-86be-001a1b3ec826,85025047.5763145,85025047.5763145,6773915,7.967
GM1507,Horst aan de Maas,"1507","31",Limburg,gemeentegebied.8225394e-121e-494b-a314-f00ef4f93fca,191932574.272688,191932574.272688,11173584,5.822
GM0840,Rucphen,"0840","30",Noord-Brabant,gemeentegebied.12bade3f-6a66-49bf-9839-e937ddce25df,64480545.0912744,64480545.0912744,,0.000
GM0505,Dordrecht,"0505","28",Zuid-Holland,gemeentegebied.1be9c963-cd08-40ff-86da-3296bd72d9ce,99481012.5601771,99481012.5601771,32611793,32.782
GM0743,Asten,"0743","30",Noord-Brabant,gemeentegebied.ae53cb4d-89dd-47a7-982a-36a51dbe07cd,71345337.1313182,71345337.1313182,8839698,12.390
GM1982,Land van Cuijk,"1982","30",Noord-Brabant,gemeentegebied.1755508d-c54e-4b5e-ae8b-ea8945718ceb,351922145.00985,351922145.00985,55189,0.016
GM0847,Someren,"0847","30",Noord-Brabant,gemeentegebied.0218abff-d6d0-4054-819f-cb3328c13173,81507675.1021547,81507675.1021547,1433894,1.759
GM0184,Urk,"0184","24",Flevoland,gemeentegebied.93b08a53-0c00-4f9b-aad9-cd6d6afce0fd,111879722.493802,111879722.493802,97073390,86.766
